turn_number,my_active_hp_ratio,opp_active_hp_ratio,my_bench_count,opp_bench_count,my_prizes_left,opp_prizes_left,my_energy_in_hand,my_hand_size,action_is_ATTACK,action_is_RETREAT,action_is_ATTACH_ENERGY,action_is_PLAY_SUPPORTER,action_is_PLAY_BASIC_TO_BENCH,action_is_EVOLVE,action_is_USE_ABILITY,action_is_PASS_TURN,action_type,immediate_reward,state_value_delta,turn,game_outcome,game_id
14.0,0.2857142857142857,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,14,opponent,0
15.0,0.9285714285714286,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,15,opponent,0
16.0,0.7857142857142857,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,16,opponent,0
17.0,0.7142857142857143,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,17,opponent,0
18.0,0.6428571428571429,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,18,opponent,0
19.0,0.6428571428571429,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,19,opponent,0
20.0,0.35714285714285715,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,20,opponent,0
21.0,0.07142857142857142,0.5555555555555556,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,21,opponent,0
22.0,0.07142857142857142,0.5555555555555556,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,22,opponent,0
1.0,1.0,1.0,0.0,3.0,6.0,6.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.6999999999999997,1,opponent,1
2.0,0.8571428571428571,1.0,0.0,3.0,6.0,6.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,2,opponent,1
3.0,0.5714285714285714,1.0,0.0,3.0,6.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000006,3,opponent,1
4.0,0.42857142857142855,1.0,0.0,3.0,6.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.10000000000000053,4,opponent,1
5.0,0.35714285714285715,0.8888888888888888,0.0,3.0,6.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.10000000000000009,5,opponent,1
6.0,0.2857142857142857,0.7777777777777778,0.0,3.0,6.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,6,opponent,1
7.0,0.14285714285714285,0.7777777777777778,0.0,3.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,7,opponent,1
8.0,0.14285714285714285,0.7777777777777778,0.0,3.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,8,opponent,1
9.0,0.07142857142857142,0.7777777777777778,0.0,3.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,9,opponent,1
1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000002,1,opponent,2
2.0,1.0,1.0,0.0,1.0,6.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.5,0.2999999999999998,2,opponent,2
3.0,0.9,0.7857142857142857,0.0,1.0,6.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.5,0.2999999999999997,3,opponent,2
4.0,0.6,0.5714285714285714,0.0,1.0,6.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.5,0.2999999999999997,4,opponent,2
5.0,0.5,0.35714285714285715,0.0,1.0,6.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.5,0.30000000000000004,5,opponent,2
6.0,0.2,0.14285714285714285,0.0,1.0,6.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,6.5,-2.3000000000000003,6,opponent,2
1.0,1.0,1.0,1.0,3.0,6.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,1,opponent,3
2.0,0.6,1.0,1.0,3.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,2,opponent,3
3.0,0.5,1.0,1.0,3.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,3,opponent,3
4.0,0.3,1.0,1.0,3.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,4,opponent,3
5.0,0.2,1.0,1.0,3.0,6.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,5,opponent,3
6.0,0.42857142857142855,1.0,1.0,3.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,6,opponent,3
7.0,0.42857142857142855,1.0,1.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,7,opponent,3
8.0,0.2,1.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,8,opponent,3
9.0,0.1,1.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,9,opponent,3
1.0,1.0,1.0,1.0,2.0,6.0,6.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000002,1,opponent,4
2.0,0.7142857142857143,1.0,1.0,2.0,6.0,6.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.0,0.19999999999999996,2,opponent,4
3.0,0.7142857142857143,0.8571428571428571,1.0,2.0,6.0,6.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.0,0.19999999999999996,3,opponent,4
4.0,0.5714285714285714,0.7142857142857143,1.0,2.0,6.0,6.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.0,0.19999999999999996,4,opponent,4
5.0,0.2857142857142857,0.5714285714285714,1.0,2.0,6.0,6.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,opponent,4
6.0,0.07142857142857142,0.5714285714285714,1.0,2.0,6.0,6.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,6,opponent,4
7.0,0.8333333333333334,0.5714285714285714,1.0,2.0,6.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,7,opponent,4
8.0,0.3333333333333333,0.5714285714285714,1.0,2.0,6.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,8,opponent,4
9.0,0.07142857142857142,0.5714285714285714,0.0,2.0,6.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,9,opponent,4
1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000001,1,opponent,5
2.0,0.8888888888888888,1.0,0.0,1.0,6.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.10000000000000009,2,opponent,5
3.0,0.7777777777777778,0.8333333333333334,0.0,1.0,6.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.10000000000000009,3,opponent,5
4.0,0.5555555555555556,0.6666666666666666,0.0,1.0,6.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.09999999999999987,4,opponent,5
5.0,0.2222222222222222,0.5,0.0,1.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,opponent,5
1.0,1.0,1.0,1.0,3.0,6.0,6.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000002,1,opponent,6
2.0,0.7142857142857143,1.0,1.0,3.0,6.0,6.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000002,2,opponent,6
3.0,0.42857142857142855,1.0,1.0,3.0,6.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,3,opponent,6
4.0,1.0,1.0,1.0,3.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,4,opponent,6
5.0,0.7142857142857143,1.0,1.0,3.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,opponent,6
6.0,0.7142857142857143,1.0,1.0,3.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,6,opponent,6
7.0,0.5,1.0,1.0,3.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,7,opponent,6
8.0,0.35714285714285715,1.0,1.0,3.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,8,opponent,6
9.0,0.07142857142857142,1.0,1.0,3.0,6.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,9,opponent,6
10.0,0.35714285714285715,1.0,1.0,3.0,6.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.09999999999999964,10,opponent,6
11.0,0.07142857142857142,0.875,1.0,3.0,6.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,11,opponent,6
12.0,0.07142857142857142,0.875,0.0,3.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,12,opponent,6
1.0,1.0,1.0,0.0,2.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,1,opponent,7
2.0,0.75,1.0,0.0,2.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,2,opponent,7
3.0,0.5,1.0,0.0,2.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,3,opponent,7
4.0,0.5,1.0,0.0,2.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,4,opponent,7
5.0,0.375,1.0,0.0,2.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,opponent,7
6.0,0.375,1.0,0.0,2.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,6,opponent,7
7.0,0.25,1.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,7,opponent,7
1.0,1.0,1.0,1.0,2.0,6.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,1,opponent,8
2.0,0.8888888888888888,1.0,1.0,2.0,6.0,6.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000002,2,opponent,8
3.0,0.4444444444444444,1.0,1.0,2.0,6.0,6.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.7000000000000004,3,opponent,8
4.0,0.3333333333333333,1.0,1.0,2.0,6.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,4,opponent,8
5.0,0.2222222222222222,1.0,1.0,2.0,6.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,5,opponent,8
6.0,1.0,1.0,1.0,2.0,6.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,6,opponent,8
7.0,0.5,1.0,1.0,2.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,7,opponent,8
8.0,0.5,1.0,1.0,2.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,8,opponent,8
9.0,0.125,1.0,1.0,2.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,9,opponent,8
10.0,0.1111111111111111,1.0,1.0,2.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,10,opponent,8
11.0,0.1111111111111111,1.0,0.0,2.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,11,opponent,8
1.0,1.0,1.0,0.0,2.0,6.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.6999999999999997,1,opponent,9
2.0,0.6,1.0,0.0,2.0,6.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.5,0.2999999999999998,2,opponent,9
3.0,0.3,0.75,0.0,2.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PLAY_BASIC_TO_BENCH,0.2,1.6,3,opponent,9
4.0,1.0,0.75,0.0,2.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,4,opponent,9
5.0,0.7142857142857143,0.75,0.0,2.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,opponent,9
6.0,0.7142857142857143,0.75,0.0,2.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.3,6,opponent,9
7.0,0.7142857142857143,0.75,0.0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.10000000000000009,7,opponent,9
8.0,0.14285714285714285,0.6666666666666666,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,8,opponent,9
1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PLAY_BASIC_TO_BENCH,0.2,1.5999999999999999,1,opponent,10
2.0,0.7857142857142857,1.0,1.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,2,opponent,10
3.0,0.7857142857142857,1.0,1.0,0.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,3,opponent,10
4.0,0.7857142857142857,1.0,1.0,0.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,4,opponent,10
5.0,0.7142857142857143,1.0,1.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,opponent,10
6.0,0.5714285714285714,1.0,1.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,6,opponent,10
7.0,0.5714285714285714,1.0,1.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,7,opponent,10
8.0,0.2857142857142857,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,8,opponent,10
9.0,0.7142857142857143,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,9,opponent,10
10.0,0.42857142857142855,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,10,opponent,10
11.0,0.14285714285714285,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,11,opponent,10
12.0,0.21428571428571427,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,12,opponent,10
13.0,0.21428571428571427,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,13,opponent,10
14.0,0.07142857142857142,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,14,opponent,10
1.0,1.0,1.0,2.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,1,opponent,11
2.0,0.625,1.0,2.0,0.0,6.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,2,opponent,11
3.0,0.7777777777777778,1.0,2.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,3,opponent,11
4.0,0.3333333333333333,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,4,opponent,11
5.0,0.9285714285714286,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,5,opponent,11
6.0,0.6428571428571429,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,6,opponent,11
7.0,0.5714285714285714,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,7,opponent,11
8.0,0.35714285714285715,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,8,opponent,11
9.0,0.375,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,9,opponent,11
10.0,0.3333333333333333,1.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,10,opponent,11
11.0,0.07142857142857142,1.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,11,opponent,11
12.0,0.1111111111111111,1.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,12,opponent,11
13.0,0.1111111111111111,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,13,opponent,11
1.0,1.0,1.0,3.0,0.0,6.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.6999999999999993,1,me,12
2.0,1.0,1.0,3.0,0.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,2,me,12
3.0,0.5,1.0,3.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,3,me,12
4.0,0.5,1.0,3.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,4,me,12
5.0,1.0,1.0,2.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,me,12
6.0,0.7777777777777778,1.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,6,me,12
7.0,0.3333333333333333,1.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,7,me,12
8.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,8,me,12
9.0,0.8333333333333334,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,9,me,12
10.0,0.16666666666666666,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,10,me,12
11.0,0.9285714285714286,1.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,1.5,0.2999999999999998,11,me,12
